,Field1,Field2,Processed Field1,Processed Field2,Similarity
21,"Securities with a 0% risk weight:  issued or guaranteed by BIS, IMF, ECB and European Community, or MDBs","B. Loans, Receivables and Other Credit Facilities3/ 4/ [Sum of B.1 to B.4]  : 2. Philippine NG; LGUs; GOCCs; sovereigns, PSEs of foreign countries; MDBs",Securities 0 risk weight issued guaranteed BIS IMF ECB European Community MDBs,B Loans Receivables Other Credit Facilities3 4 Sum B 1 B 4 2 Philippine NG LGUs GOCCs sovereign PSEs foreign country MDBs,0.6787386201369409
22,"Securities with a 0% risk weight:  issued or guaranteed by BIS, IMF, ECB and European Community, or MDBs","B. Loans, Receivables and Other Credit Facilities3/ 4/ [Sum of B.1 to B.4]  : 3. Non-financial corporates",Securities 0 risk weight issued guaranteed BIS IMF ECB European Community MDBs,B Loans Receivables Other Credit Facilities3 4 Sum B 1 B 4 3 Non financial corporates,0.6698563521304867
23,"Securities with a 0% risk weight:  issued or guaranteed by BIS, IMF, ECB and European Community, or MDBs","B. Loans, Receivables and Other Credit Facilities3/ 4/ [Sum of B.1 to B.4]  :4. Banks; financial corporates; trust and other fiduciaries; beneficiaries; BSP; and central banks of foreign countries",Securities 0 risk weight issued guaranteed BIS IMF ECB European Community MDBs,B Loans Receivables Other Credit Facilities3 4 Sum B 1 B 4 4 Banks financial corporates trust fiduciary beneficiary BSP central bank foreign country,0.7266987505423275
24,For non-0% risk-weighted sovereigns:  sovereign or central bank debt securities issued in domestic currencies by the sovereign or central bank in the country in which the liquidity risk is being taken or in the bank’s home country,"B. Loans, Receivables and Other Credit Facilities3/ 4/ [Sum of B.1 to B.4] : 1. Retail clients",For non 0 risk weighted sovereign sovereign central bank debt security issued domestic currency sovereign central bank country liquidity risk taken bank home country,B Loans Receivables Other Credit Facilities3 4 Sum B 1 B 4 1 Retail client,0.6436352809118809
25,For non-0% risk-weighted sovereigns:  sovereign or central bank debt securities issued in domestic currencies by the sovereign or central bank in the country in which the liquidity risk is being taken or in the bank’s home country,"B. Loans, Receivables and Other Credit Facilities3/ 4/ [Sum of B.1 to B.4]  : 2. Philippine NG; LGUs; GOCCs; sovereigns, PSEs of foreign countries; MDBs",For non 0 risk weighted sovereign sovereign central bank debt security issued domestic currency sovereign central bank country liquidity risk taken bank home country,B Loans Receivables Other Credit Facilities3 4 Sum B 1 B 4 2 Philippine NG LGUs GOCCs sovereign PSEs foreign country MDBs,0.7492022260512583
26,For non-0% risk-weighted sovereigns:  sovereign or central bank debt securities issued in domestic currencies by the sovereign or central bank in the country in which the liquidity risk is being taken or in the bank’s home country,"B. Loans, Receivables and Other Credit Facilities3/ 4/ [Sum of B.1 to B.4]  : 3. Non-financial corporates",For non 0 risk weighted sovereign sovereign central bank debt security issued domestic currency sovereign central bank country liquidity risk taken bank home country,B Loans Receivables Other Credit Facilities3 4 Sum B 1 B 4 3 Non financial corporates,0.7066717349940281
27,For non-0% risk-weighted sovereigns:  sovereign or central bank debt securities issued in domestic currencies by the sovereign or central bank in the country in which the liquidity risk is being taken or in the bank’s home country,"B. Loans, Receivables and Other Credit Facilities3/ 4/ [Sum of B.1 to B.4]  :4. Banks; financial corporates; trust and other fiduciaries; beneficiaries; BSP; and central banks of foreign countries",For non 0 risk weighted sovereign sovereign central bank debt security issued domestic currency sovereign central bank country liquidity risk taken bank home country,B Loans Receivables Other Credit Facilities3 4 Sum B 1 B 4 4 Banks financial corporates trust fiduciary beneficiary BSP central bank foreign country,0.8452990400143711
28,"For non-0% risk-weighted sovereigns:  domestic sovereign or central bank debt securities issued in foreign currencies, up to the amount of the bank’s stressed net cash outflows in that specific foreign currency stemming from the bank’s operations in the jurisdiction where the bank’s liquidity risk is being taken","B. Loans, Receivables and Other Credit Facilities3/ 4/ [Sum of B.1 to B.4] : 1. Retail clients",For non 0 risk weighted sovereign domestic sovereign central bank debt security issued foreign currency amount bank stressed net cash outflow specific foreign currency stemming bank operation jurisdiction bank liquidity risk taken,B Loans Receivables Other Credit Facilities3 4 Sum B 1 B 4 1 Retail client,0.664144140526913
29,"For non-0% risk-weighted sovereigns:  domestic sovereign or central bank debt securities issued in foreign currencies, up to the amount of the bank’s stressed net cash outflows in that specific foreign currency stemming from the bank’s operations in the jurisdiction where the bank’s liquidity risk is being taken","B. Loans, Receivables and Other Credit Facilities3/ 4/ [Sum of B.1 to B.4]  : 2. Philippine NG; LGUs; GOCCs; sovereigns, PSEs of foreign countries; MDBs",For non 0 risk weighted sovereign domestic sovereign central bank debt security issued foreign currency amount bank stressed net cash outflow specific foreign currency stemming bank operation jurisdiction bank liquidity risk taken,B Loans Receivables Other Credit Facilities3 4 Sum B 1 B 4 2 Philippine NG LGUs GOCCs sovereign PSEs foreign country MDBs,0.7488463815367361
30,"For non-0% risk-weighted sovereigns:  domestic sovereign or central bank debt securities issued in foreign currencies, up to the amount of the bank’s stressed net cash outflows in that specific foreign currency stemming from the bank’s operations in the jurisdiction where the bank’s liquidity risk is being taken","B. Loans, Receivables and Other Credit Facilities3/ 4/ [Sum of B.1 to B.4]  : 3. Non-financial corporates",For non 0 risk weighted sovereign domestic sovereign central bank debt security issued foreign currency amount bank stressed net cash outflow specific foreign currency stemming bank operation jurisdiction bank liquidity risk taken,B Loans Receivables Other Credit Facilities3 4 Sum B 1 B 4 3 Non financial corporates,0.722524294584151
31,"For non-0% risk-weighted sovereigns:  domestic sovereign or central bank debt securities issued in foreign currencies, up to the amount of the bank’s stressed net cash outflows in that specific foreign currency stemming from the bank’s operations in the jurisdiction where the bank’s liquidity risk is being taken","B. Loans, Receivables and Other Credit Facilities3/ 4/ [Sum of B.1 to B.4]  :4. Banks; financial corporates; trust and other fiduciaries; beneficiaries; BSP; and central banks of foreign countries",For non 0 risk weighted sovereign domestic sovereign central bank debt security issued foreign currency amount bank stressed net cash outflow specific foreign currency stemming bank operation jurisdiction bank liquidity risk taken,B Loans Receivables Other Credit Facilities3 4 Sum B 1 B 4 4 Banks financial corporates trust fiduciary beneficiary BSP central bank foreign country,0.8542184218738614
